School Number,School Type,Grade 1 Enrolment,Grade 2 Enrolment,Grade 3 Enrolment,Grade 4 Enrolment,Grade 5 Enrolment,Grade 6 Enrolment,Grade 7 Enrolment,Grade 8 Enrolment
862886,Catholic,25,25,25,20,25,35,30,35
762946,Catholic,0,0,0,20,35,15,15,30
707449,Catholic,20,20,15,25,20,30,30,35
738379,Catholic,10,10,10,10,10,10,10,0
705970,Catholic,50,40,30,45,40,50,50,40
841490,Catholic,20,20,20,15,15,20,25,15
750518,Catholic,0,0,0,0,0,0,15,10
866569,Catholic,0,0,0,0,0,0,35,40
707880,Catholic,60,65,50,45,55,45,0,0
708054,Catholic,45,45,30,35,45,35,25,20
732400,Catholic,55,50,55,50,55,55,40,40
797359,Catholic,35,35,40,30,40,35,35,40
695025,Catholic,0,0,0,0,0,0,130,115
765865,Catholic,0,0,0,0,0,0,40,35
705349,Catholic,45,55,50,55,25,40,35,35
768138,Catholic,15,15,10,10,15,10,10,10
774901,Catholic,15,25,30,20,25,20,20,30
787515,Catholic,35,30,20,35,20,25,30,25
791288,Catholic,15,20,15,10,15,10,10,10
792187,Catholic,0,0,0,0,0,0,30,30
804150,Catholic,25,50,30,35,35,35,25,45
715539,Catholic,60,65,55,45,45,35,0,0
832626,Catholic,40,45,40,55,45,40,30,40
863009,Catholic,10,10,10,10,10,15,10,15
845639,Catholic,10,10,10,10,15,10,10,10
855375,Catholic,20,30,20,35,35,30,0,0
861170,Catholic,15,10,10,15,20,20,55,65
730327,Catholic,45,40,50,45,40,45,0,0
822540,Catholic,50,35,45,40,40,45,0,0
863394,Catholic,35,50,45,55,40,50,45,45
863726,Catholic,20,25,20,20,20,15,10,10
728659,Catholic,25,15,20,15,15,15,15,10
701777,Catholic,35,30,45,30,35,35,0,0
761907,Catholic,55,30,45,55,50,45,40,40
822786,Catholic,0,0,0,0,0,0,20,10
776182,Catholic,10,15,20,20,25,25,20,15
69051,Public,0,0,0,0,0,0,130,80
616160,Public,0,0,0,0,0,0,10,10
409832,Public,0,0,0,10,0,10,0,0
488291,Public,50,55,50,50,45,45,15,10
